VALOR,VIGENCIADESDE,VIGENCIAHASTA
2850.98,09/10/2002,09/10/2002
2854.04,10/10/2002,10/10/2002
2870.63,11/10/2002,11/10/2002
2861.16,12/10/2002,15/10/2002
2852.99,16/10/2002,16/10/2002
2857.13,17/10/2002,17/10/2002
2853.90,18/10/2002,18/10/2002
2836.34,19/10/2002,21/10/2002
2791.46,22/10/2002,22/10/2002
2758.76,23/10/2002,23/10/2002
2744.32,24/10/2002,24/10/2002
2747.07,25/10/2002,25/10/2002
2755.69,26/10/2002,28/10/2002
2770.73,29/10/2002,29/10/2002
2781.72,30/10/2002,30/10/2002
2773.73,31/10/2002,31/10/2002
2778.60,01/11/2002,01/11/2002
2778.47,02/11/2002,05/11/2002
2774.58,06/11/2002,06/11/2002
2761.99,07/11/2002,07/11/2002
2743.00,08/11/2002,08/11/2002
2743.92,09/11/2002,12/11/2002
2727.05,13/11/2002,13/11/2002
2717.89,14/11/2002,14/11/2002
2724.04,15/11/2002,15/11/2002
2703.75,16/11/2002,18/11/2002
2679.96,19/11/2002,19/11/2002
2683.04,20/11/2002,20/11/2002
2671.70,21/11/2002,21/11/2002
2666.41,22/11/2002,22/11/2002
2687.25,23/11/2002,25/11/2002
2716.95,26/11/2002,26/11/2002
2735.04,27/11/2002,27/11/2002
2754.67,28/11/2002,28/11/2002
2758.28,29/11/2002,29/11/2002
2784.21,30/11/2002,02/12/2002
2812.94,03/12/2002,03/12/2002
2826.10,04/12/2002,04/12/2002
2806.63,05/12/2002,05/12/2002
2788.72,06/12/2002,06/12/2002
2782.40,07/12/2002,09/12/2002
2815.00,10/12/2002,10/12/2002
2816.42,11/12/2002,11/12/2002
2801.01,12/12/2002,12/12/2002
2793.16,13/12/2002,13/12/2002
2808.16,14/12/2002,16/12/2002
2807.61,17/12/2002,17/12/2002
2805.55,18/12/2002,18/12/2002
2818.81,19/12/2002,19/12/2002
2818.54,20/12/2002,20/12/2002
2814.71,21/12/2002,23/12/2002
2826.04,24/12/2002,24/12/2002
2823.95,25/12/2002,26/12/2002
2843.57,27/12/2002,27/12/2002
2854.29,28/12/2002,30/12/2002
2864.79,31/12/2002,02/01/2003
2844.82,03/01/2003,03/01/2003
2841.56,04/01/2003,07/01/2003
2881.83,08/01/2003,08/01/2003
2902.92,09/01/2003,09/01/2003
2915.01,10/01/2003,10/01/2003
2905.77,11/01/2003,13/01/2003
2906.49,14/01/2003,14/01/2003
2903.05,15/01/2003,15/01/2003
2905.41,16/01/2003,16/01/2003
2928.19,17/01/2003,17/01/2003
2923.58,18/01/2003,20/01/2003
2926.06,21/01/2003,21/01/2003
2933.81,22/01/2003,22/01/2003
2947.05,23/01/2003,23/01/2003
2926.88,24/01/2003,24/01/2003
2924.73,25/01/2003,27/01/2003
2948.30,28/01/2003,28/01/2003
2965.60,29/01/2003,29/01/2003
2950.71,30/01/2003,30/01/2003
2926.46,31/01/2003,31/01/2003
2940.26,01/02/2003,03/02/2003
2957.40,04/02/2003,04/02/2003
2966.78,05/02/2003,05/02/2003
2961.29,06/02/2003,06/02/2003
2963.28,07/02/2003,07/02/2003
2954.03,08/02/2003,10/02/2003
2968.88,11/02/2003,11/02/2003
2963.21,12/02/2003,12/02/2003
2960.77,13/02/2003,13/02/2003
2959.75,14/02/2003,14/02/2003
2954.76,15/02/2003,17/02/2003
2934.58,18/02/2003,18/02/2003
2929.64,19/02/2003,19/02/2003
2937.44,20/02/2003,20/02/2003
2938.23,21/02/2003,21/02/2003
2939.92,22/02/2003,24/02/2003
2949.05,25/02/2003,25/02/2003
2951.81,26/02/2003,26/02/2003
2949.85,27/02/2003,27/02/2003
2956.31,28/02/2003,28/02/2003
2957.87,01/03/2003,03/03/2003
2959.97,04/03/2003,04/03/2003
2962.06,05/03/2003,05/03/2003
2960.77,06/03/2003,06/03/2003
2960.11,07/03/2003,07/03/2003
2959.75,08/03/2003,10/03/2003
2961.93,11/03/2003,11/03/2003
2962.76,12/03/2003,12/03/2003
2961.99,13/03/2003,13/03/2003
2959.39,14/03/2003,14/03/2003
2958.86,15/03/2003,17/03/2003
2956.47,18/03/2003,18/03/2003
2955.84,19/03/2003,19/03/2003
2955.64,20/03/2003,20/03/2003
2954.62,21/03/2003,21/03/2003
2956.06,22/03/2003,25/03/2003
2959.26,26/03/2003,26/03/2003
2959.84,27/03/2003,27/03/2003
2958.73,28/03/2003,28/03/2003
2958.25,29/03/2003,31/03/2003
2956.50,03/04/2003,03/04/2003
922.21,15/08/1995,15/08/1995
3099.12,06/03/2019,06/03/2019
3119.42,22/02/2019,22/02/2019
3110.29,23/02/2019,25/02/2019
3101.41,26/02/2019,26/02/2019
3095.29,27/02/2019,27/02/2019
3072.01,28/02/2019,28/02/2019
3077.35,01/03/2019,01/03/2019
3091.49,02/03/2019,04/03/2019
820.12,01/03/1994,01/03/1994
3093.79,05/03/2019,05/03/2019
2549.10,15/10/2004,15/10/2004
2562.56,16/10/2004,19/10/2004
2556.18,20/10/2004,20/10/2004
2561.33,21/10/2004,21/10/2004
2555.26,22/10/2004,22/10/2004
2582.39,27/10/2004,27/10/2004
1852.67,03/02/2011,03/02/2011
1846.23,29/07/2010,29/07/2010
1841.35,30/07/2010,30/07/2010
1842.79,31/07/2010,02/08/2010
1832.45,03/08/2010,03/08/2010
1834.58,04/08/2010,04/08/2010
1824.52,05/08/2010,05/08/2010
1818.50,06/08/2010,06/08/2010
1815.46,07/08/2010,09/08/2010
1808.93,10/08/2010,10/08/2010
1810.12,11/08/2010,11/08/2010
1807.55,12/08/2010,12/08/2010
1812.20,13/08/2010,13/08/2010
1835.32,14/08/2010,17/08/2010
1810.75,18/08/2010,18/08/2010
1808.14,19/08/2010,19/08/2010
1819.13,20/08/2010,20/08/2010
1820.93,21/08/2010,23/08/2010
1806.93,24/08/2010,24/08/2010
1818.86,25/08/2010,25/08/2010
1820.29,26/08/2010,26/08/2010
1811.46,27/08/2010,27/08/2010
1817.68,28/08/2010,30/08/2010
1823.74,31/08/2010,31/08/2010
1826.31,01/09/2010,01/09/2010
1815.09,02/09/2010,02/09/2010
1810.65,03/09/2010,03/09/2010
1807.73,04/09/2010,07/09/2010
1808.65,08/09/2010,08/09/2010
1803.00,09/09/2010,09/09/2010
1802.54,10/09/2010,10/09/2010
1801.04,11/09/2010,13/09/2010
1793.28,14/09/2010,14/09/2010
1788.05,15/09/2010,15/09/2010
1806.78,16/09/2010,16/09/2010
1811.55,17/09/2010,17/09/2010
1806.76,18/09/2010,20/09/2010
1798.73,21/09/2010,21/09/2010
1805.31,22/09/2010,22/09/2010
1803.71,23/09/2010,23/09/2010
1810.72,24/09/2010,24/09/2010
1809.46,25/09/2010,27/09/2010
1802.15,28/09/2010,28/09/2010
1804.06,29/09/2010,29/09/2010
1799.89,30/09/2010,30/09/2010
1801.01,01/10/2010,01/10/2010
1795.93,02/10/2010,04/10/2010
1802.09,05/10/2010,05/10/2010
1802.43,06/10/2010,06/10/2010
1796.29,07/10/2010,07/10/2010
1786.20,08/10/2010,08/10/2010
1786.37,09/10/2010,12/10/2010
3190.94,29/03/2019,29/03/2019
3285.14,15/05/2019,15/05/2019
3378.29,15/02/2020,18/02/2020
3588.89,04/06/2020,04/06/2020
3911.36,05/08/2021,05/08/2021
3888.53,13/11/2021,16/11/2021
3927.25,19/02/2022,22/02/2022
3816.43,18/03/2022,18/03/2022
3820.67,19/03/2022,22/03/2022
2956.82,12/05/2016,12/05/2016
2934.88,13/05/2016,13/05/2016
2983.82,14/05/2016,16/05/2016
3007.74,17/05/2016,17/05/2016
3020.89,18/05/2016,18/05/2016
3031.48,19/05/2016,19/05/2016
3056.06,20/05/2016,20/05/2016
3047.99,21/05/2016,23/05/2016
3058.25,24/05/2016,24/05/2016
3059.92,25/05/2016,25/05/2016
3061.89,26/05/2016,26/05/2016
3054.60,27/05/2016,27/05/2016
3069.17,28/05/2016,31/05/2016
3089.65,01/06/2016,01/06/2016
3117.83,02/06/2016,02/06/2016
3110.88,03/06/2016,03/06/2016
3017.71,04/06/2016,07/06/2016
2950.95,08/06/2016,08/06/2016
2905.23,09/06/2016,09/06/2016
2942.13,10/06/2016,10/06/2016
2969.83,11/06/2016,13/06/2016
2990.35,14/06/2016,14/06/2016
